SPRG_SUB_PROGRAM_KEY,PFCN_FUNCTION_CODE,PFCN_FUNCTION_NAME,PRG_PROGRAM_CODE,PRG_PROGRAM_NAME,SPRG_SUB_PROGRAM_CODE,,SPRG_SUB_PROGRAM_NAME
2715,1,EDUCATION,106,HIGHER EDUCATION INSTITUTIONAL SUPPORT,10620,,OTHER SERVICES
2716,1,EDUCATION,106,HIGHER EDUCATION INSTITUTIONAL SUPPORT,10630,,RECREATION SERVICES
2717,1,EDUCATION,106,HIGHER EDUCATION INSTITUTIONAL SUPPORT,10640,,OTHER SERVICES
2718,1,EDUCATION,106,HIGHER EDUCATION INSTITUTIONAL SUPPORT,10650,,AIR TRANSPORTATION ENGINEERING
2719,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10710,,OTHER SERVICES
2720,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10711,,HOUSEKEEPING SERVICES
2721,7,GENERAL GOVERNMENT,738,CENTRAL RECORDS RETENTION SERVICES,73899,,POWER PLANT OPERATION
2722,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74101,,TRAINING AND EDUCATION SERVICES
2723,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74102,,LOCAL AFFAIRS
2724,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74103,,CHIEF EXECUTIVE
2725,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74104,,SAVINGS FROM MANAGEMENT ACTIONS
2726,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74105,,FIN ASST - LOCAL FINANCE DIRECTORS
2730,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57906,,FOOD AND DIETARY SERVICES
2731,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57907,,PLANNING AND EVALUATION SERVICES
2732,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57908,,PUBLIC/PRIVATE PARTNERSHIP
2733,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57909,,LINE OF DUTY
2734,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57910,,JUDICIAL RETIREMENT
2735,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57911,,ADMINISTRATIVE AND SUPPORT SERVICES
2736,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57913,,HIGHER EDUCATION AUXILIARY ENTERPRISES
2737,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57914,,TRANSPORTATION POOL SERVICES
2738,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57915,,REMEDIAL INSTRUCTION
2739,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57916,,INSTITUTES AND RESEARCH CENTERS
2740,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57917,,INDUSTRIAL & ECONOMIC DEVELOPMENT RESEARCH
2741,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54927,,FIELD COOPERATIVE EXTENSION SERVICES
2742,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54928,,"ACAD ADMIN,PERSONNEL DEV AND COURSE AND CURR DEV"
2743,5,RESOURCE AND ECONOMIC DEVELOPMENT,549,ADMINISTRATIVE AND SUPPORT SERVICES,54999,,EXECUTIVE MANAGEMENT
2744,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55201,,FELLOWSHIPS
2745,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55202,,MARINE SCIENCE CONSORTIUM
2746,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55203,,HIGHER EDUCATION FACILITY PLANNING AND REVIEW
2747,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55204,,ACCOUNTING AND BUDGETING SERVICES
2748,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55205,,MEDICAL MANAGEMENT AND DIRECTION
2751,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55208,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2752,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55209,,GRANT AND LOAN ADMINISTRATION
2754,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55211,,OTHER SERVICES
2756,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55213,,LIBRARY SERVICES TO STATE AGENCIES
2757,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55214,,OPERATIONAL AND SUPPORT SERVICES
2758,5,RESOURCE AND ECONOMIC DEVELOPMENT,552,REGULATION OF BUSINESS PRACTICES,55299,,FILTRATION AND TREATMENT PLANT OPERATION
2761,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71904,,PHYSICAL PLANT SERVICES
2762,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71905,,SECURITY SERVICES
2763,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71906,,FINANCIAL ASST FOR SP EDUCATION INSTRUCTION
2764,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71907,,FINC ASST FOR VA OCCUP INFO COORD COMM
2765,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71908,,MEDICAL AND CLINICAL SERVICES
2766,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71909,,PUBLIC INFORMATION SERVICES
2767,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71910,,VESSEL OPERATION SERVICES
2768,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71911,,CONFINEMENT AND CUSTODY RESEARCH AND PLANNING
2769,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71913,,OTHER SERVICES
2770,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71914,,OFFENDER TESTING
2771,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71915,,ACCOUNTING AND BUDGETING SERVICES
2772,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71916,,MEDICAL MANAGEMENT AND DIRECTION
2773,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71917,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2774,7,GENERAL GOVERNMENT,719,ADMINISTRATIVE AND SUPPORT SERVICES,71918,,GRANT AND LOAN ADMINISTRATION
2776,1,EDUCATION,146,HUMAN RELATIONS MANAGEMNT,14601,,EMERGENCY MEDICAL SERVICES SYS DEV & COORDINATION
2777,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14901,,VITAL RECORDS
2778,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14902,,TECH ASSIST/SUPPORT PREV/CNTRL OF COMM/CHRONIC DIS
2779,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14903,,REGULATORY AND CONSUMER ADVOCACY
2780,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14904,,REGULATION OF LABOR UNIONS
2781,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19901,,ADMINISTRATIVE SERVICES
2783,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19903,,GENERAL MANAGEMENT AND DIRECTION
2784,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19904,,FILTRATION AND TREATMENT PLANT OPERATION
2785,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19905,,PHYSICAL PLANT SERVICES
2786,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19906,,SECURITY SERVICES
2787,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19907,,GENERAL MANAGEMENT AND DIRECTION
2788,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19908,,LINEN AND LAUNDRY SERVICES
2789,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19909,,PROCUREMENT AND DISTRIBUTION SERVICES
2790,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19910,,TRANSPORTATION SERVICES
2791,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19911,,OTHER SERVICES
2792,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19913,,OTHER SERVICES
2793,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19914,,FOOD AND DIETARY SERVICES
2794,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19915,,PETROLEUM TANK REGULATION
2795,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19916,,FILTRATION AND TREATMENT PLANT OPERATION
2796,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19917,,INVESTIGATION AND ARREST
2797,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19918,,CRIMINAL JUSTICE COORDINATION
2798,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19919,,ACCOUNTING AND BUDGETING SERVICES
2799,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19920,,MEDICAL MANAGEMENT AND DIRECTION
2800,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19921,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2801,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10720,,GRANT AND LOAN ADMINISTRATION
2803,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10740,,TRIAL PROCESSES
2804,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10750,,ADJUDICATORY COORDINATION
2805,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10760,,JUDICIAL STANDARDS
2806,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10770,,"INDIGENT DEFENSE, CIVIL"
2807,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10780,,FOOD AND DIETARY SERVICES
2808,1,EDUCATION,107,OPERATION AND MAINTENANCE OF PLANT,10790,,PLANNING AND EVALUATION SERVICES
2809,1,EDUCATION,108,HIGHER EDUCATION STUDENT FINANCIAL ASSISTANCE,10810,,PARKING FACILITIES MANAGEMENT
2810,1,EDUCATION,108,HIGHER EDUCATION STUDENT FINANCIAL ASSISTANCE,10820,,OTHER SERVICES
2811,1,EDUCATION,108,HIGHER EDUCATION STUDENT FINANCIAL ASSISTANCE,10830,,CRITICAL HIGHWAY CONSTRUCTION
2812,1,EDUCATION,108,HIGHER EDUCATION STUDENT FINANCIAL ASSISTANCE,10840,,INTERSTATE MAINTENANCE
2813,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11001,,FINANCIAL ASSISTANCE FOR TRANSPORTATION SAFETY
2814,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11002,,FINANCIAL ASSISTANCE FOR CITY ROAD MAINTENANCE
2815,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11003,,COMPUTER SERVICES
2816,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11004,,MEDICAL AND CLINICAL SERVICES
2817,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11005,,PUBLIC INFORMATION SERVICES
2818,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11006,,VESSEL OPERATION SERVICES
2819,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11007,,PORT FACILITIES ACQUISITION
2820,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11008,,GENERAL MANAGEMENT AND DIRECTION
2821,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57918,,LINEN AND LAUNDRY SERVICES
2822,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57919,,LIVESTOCK PRODUCTION
2823,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57920,,OTHER SERVICES
2824,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57921,,SIGN FABRICATION
2825,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57922,,VENDING STANDS AND SNACK BARS
2826,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57923,,RESIDENTIAL SERVICES
2827,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57924,,FOOD PROCESSING SERVICES
2828,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57925,,STATE LOTTERY MANAGEMENT SERVICES
2829,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57926,,ARCHITECTURAL AND ENGINEERING SERVICES
2830,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57927,,NURSING MANAGEMENT AND DIRECTION
2831,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57928,,RECREATION SERVICES
2832,5,RESOURCE AND ECONOMIC DEVELOPMENT,579,ADMINISTRATIVE AND SUPPORT SERVICES,57999,,OTHER SERVICES
2833,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51903,,OTHER SERVICES
2834,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51904,,OTHER WAREHOUSING SERVICES
2835,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51905,,ACCOUNTING AND BUDGETING SERVICES
2836,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51906,,MEDICAL MANAGEMENT AND DIRECTION
2837,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51907,,TEACHER MANAGEMENT AND DIRECTION
2838,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51908,,OFFENDER WORK OPPORTUNITIES
2839,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51909,,EXECUTIVE CLEMENCY
2840,5,RESOURCE AND ECONOMIC DEVELOPMENT,519,ADMINISTRATIVE AND SUPPORT SERVICES,51910,,COURTHOUSE AND COURTROOM SECURITY TRAINING AND ED
2841,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74109,,LAW ENFORCEMENT SCIENTIFIC SUPPORT SERVICES
2842,7,GENERAL GOVERNMENT,741,PHYSICAL PLANT MAINTENANCE AND OPERATION,74199,,MARINE LIFE MANAGEMENT
2845,7,GENERAL GOVERNMENT,744,FIRE SERVICES ASSISTANCE,74401,,PAYMENTS TO INSURANCE COMPANIES
2848,7,GENERAL GOVERNMENT,744,FIRE SERVICES ASSISTANCE,74498,,REGULATION OF CHARITABLE GAMING
2849,7,GENERAL GOVERNMENT,744,FIRE SERVICES ASSISTANCE,74499,,PRIORITY TRANSPORTATION PROJECTS
2852,7,GENERAL GOVERNMENT,745,FINANCIAL ASSISTANCE FOR TOBACCO SETTLEMENT,74503,,ADMINISTRATIVE AND SUPPORT SERVICES
2853,7,GENERAL GOVERNMENT,745,FINANCIAL ASSISTANCE FOR TOBACCO SETTLEMENT,74504,,PERSONNEL MANAGEMENT SERVICES
2854,7,GENERAL GOVERNMENT,745,FINANCIAL ASSISTANCE FOR TOBACCO SETTLEMENT,74505,,"PLANNING, BUDGETING AND EVALUATION SERVICES"
2855,7,GENERAL GOVERNMENT,745,FINANCIAL ASSISTANCE FOR TOBACCO SETTLEMENT,74506,,ELECTORAL SERVICES
2856,7,GENERAL GOVERNMENT,747,PUBLIC/PRIVATE PARTNERSHIP,74701,,FEDERAL RETIREE TAX RESERVE
2858,7,GENERAL GOVERNMENT,748,ARCHITECTURAL & ANTIQUITY RESEARCH/PLAN/COORDINATN,74801,,HEALTH RESOURCES DEVELOPMENT
2859,7,GENERAL GOVERNMENT,749,ADMINISTRATIVE AND SUPPORT SERVICES,74901,,ARCHITECTURAL AND ENGINEERING SERVICES
2860,7,GENERAL GOVERNMENT,749,ADMINISTRATIVE AND SUPPORT SERVICES,74902,,NURSING MANAGEMENT AND DIRECTION
2861,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14905,,RECREATION SERVICES
2862,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14906,,PLANNING AND EVALUATION SERVICES
2863,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14907,,TEACHER MANAGEMENT AND DIRECTION
2864,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14908,,DEFERRED MAINTENANCE
2865,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14909,,HIGHER EDUCATION ACADEMIC SUPPORT
2866,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14910,,UNIQUE MILITARY ACTIVITIES
2867,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14911,,MUSEUM AND CULTURAL SERVICES
2868,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14913,,ADULT LITERACY SERVICES
2869,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14914,,REVERSION CLEARING ACCT-APPROP REDUCT (OPERATING)
2870,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14915,,REVERSION CLEAR-ECONOMIC DEVELOPMENT CONSOLIDATION
2871,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14916,,LAW LIBRARY SERVICES
2872,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14917,,CONFINEMENT AND CUSTODY RESEARCH/PLANNING/COORD
2873,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14918,,EMERGENCY MEDICAL SERVICES
2874,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14919,,STATE HEALTH SERVICES
2875,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14920,,PROTECTIVE SERVICES
2876,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14921,,CONTINUING INCOME ASSISTANCE SERVICES
2877,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14922,,VESSEL OPERATION SERVICES
2878,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14923,,CHILDREN'S SPECIALTY SERVICES
2879,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14924,,OUTPATIENT MEDICAL SERVICES
2880,1,EDUCATION,149,ADMINISTRATIVE AND SUPPORT SERVICES,14925,,GENERAL MEDICAL SERVICES
2881,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19922,,OTHER SERVICES
2882,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19923,,COLLECTION AND LOCATOR SERVICES
2883,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19924,,NURSING MANAGEMENT AND DIRECTION
2884,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19925,,RECREATION SERVICES
2885,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19926,,OTHER SERVICES
2886,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19927,,COMMUNITY SERVICES BLOCK GRANTS
2887,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19928,,AID TO DEPENDENTS OF OFFENDERS
2888,1,EDUCATION,199,ADMINISTRATIVE AND SUPPORT SERVICES,19999,,COMPREHENSIVE SERVICES ACT ADMINISTRATION
2889,3,ADMINISTRATION OF JUSTICE,301,CRIME DETERRENCE,30101,,DAY CARE SERVICES
2890,3,ADMINISTRATION OF JUSTICE,301,CRIME DETERRENCE,30102,,PROCUREMENT AND DISTRIBUTION SERVICES
2891,3,ADMINISTRATION OF JUSTICE,301,CRIME DETERRENCE,30199,,HOUSING ASSISTANCE
2893,3,ADMINISTRATION OF JUSTICE,302,CRIM JUSTICE INFORMATION SYSTEMS AND STATISTICS,30202,,OTHER SERVICES
2896,3,ADMINISTRATION OF JUSTICE,302,CRIM JUSTICE INFORMATION SYSTEMS AND STATISTICS,30205,,VETERAN'S AND DEPENDENTS' ASSISTANCE SERVICES
2897,3,ADMINISTRATION OF JUSTICE,302,CRIM JUSTICE INFORMATION SYSTEMS AND STATISTICS,30299,,EMPLOYMENT SERVICES ADMINISTRATION
2898,3,ADMINISTRATION OF JUSTICE,303,CRIMINAL JUSTICE TRAINING/EDUCATION/STANDARDS,30301,,OTHER SERVICES
2899,3,ADMINISTRATION OF JUSTICE,303,CRIMINAL JUSTICE TRAINING/EDUCATION/STANDARDS,30302,,FILTRATION AND TREATMENT PLANT OPERATION
2900,3,ADMINISTRATION OF JUSTICE,303,CRIMINAL JUSTICE TRAINING/EDUCATION/STANDARDS,30303,,PHYSICAL PLANT SERVICES
2901,1,EDUCATION,110,FIN ASSISTANCE FOR EDUCATIONAL AND GENERAL SVCS,11009,,SECURITY SERVICES
2902,1,EDUCATION,100,HIGHER EDUCATION-EDUCATIONAL & GENERAL PROGRAMS,10000,,OTHER SERVICES
2903,1,EDUCATION,101,HIGHER EDUCATION INSTRUCTION,10100,,OTHER SERVICES
2904,6,TRANSPORTATION,601,GROUND TRANSPORTATION REGULATION,60102,,COMMEMORATIVE ATTRACTION MANAGEMENT
2905,6,TRANSPORTATION,601,GROUND TRANSPORTATION REGULATION,60199,,MINED LAND RECLAMATION AND REGULATION
2906,6,TRANSPORTATION,602,GROUND TRANSPORTATION SYSTEM PLANNING AND RESEARCH,60201,,OTHER SERVICES
2907,6,TRANSPORTATION,602,GROUND TRANSPORTATION SYSTEM PLANNING AND RESEARCH,60202,,PESTICIDE REGULATION AND APPLICATOR CERTIFICATION
2908,6,TRANSPORTATION,602,GROUND TRANSPORTATION SYSTEM PLANNING AND RESEARCH,60299,,COLLECTION AGENCY REGULATION
2909,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60301,,HAIRDRESSER REGULATION
2911,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60303,,MOTOR VEHICLE DEALER & SALESMAN REGULATION
2912,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60304,,PILOT REGULATION
2913,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60305,,SOCIAL WORKER REGULATION
2914,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60306,,GENERAL MANAGEMENT AND DIRECTION
2915,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60307,,NURSING MANAGEMENT AND DIRECTION
2916,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60308,,RECREATION SERVICES
2917,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60309,,OTHER SERVICES
2918,6,TRANSPORTATION,603,HIGHWAY SYSTEM ACQUISITION AND CONSTRUCTION,60310,,SEED POTATO LAW SERVICES
2920,8,ENTERPRISES,801,ALCOHOLIC BEVERAGE MERCHANDISING,80199,,ARCHITECTURAL AND ENGINEERING SERVICES
2922,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30404,,NURSING MANAGEMENT AND DIRECTION
2923,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30405,,RECREATION SERVICES
2924,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30406,,RECORDS RETENTION AND WORD PROCESSING SERVICES
2925,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30407,,GRANT AND LOAN ADMINISTRATION
2926,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30408,,BASIC AID PAYMENTS
2927,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30409,,SPECIAL EDUCATION PAYMENTS
2928,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30410,,EDUCATIONAL TECHNOLOGY PAYMENTS
2929,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30411,,TECHNOLOGY SUPPORT PAYMENTS
2930,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30412,,FIN ASSIST FOR LOTTERY PROCEEDS REVENUE SHARING
2931,3,ADMINISTRATION OF JUSTICE,304,"CRIME DETECTION,INVESTIGATION AND APPREHENSION",30499,,STATE ED SERVICES FOR PUBLIC SCHOOL SUPPORT
2932,3,ADMINISTRATION OF JUSTICE,305,CRIMINAL JUSTICE RESEARCH/PLANNING/COORDINATION,30501,,ADULT LITERACY SERVICES ADMINISTRATION
2933,3,ADMINISTRATION OF JUSTICE,305,CRIMINAL JUSTICE RESEARCH/PLANNING/COORDINATION,30502,,FILTRATION AND TREATMENT PLANT OPERATION
2934,3,ADMINISTRATION OF JUSTICE,305,CRIMINAL JUSTICE RESEARCH/PLANNING/COORDINATION,30503,,PHYSICAL PLANT SERVICES
2935,3,ADMINISTRATION OF JUSTICE,305,CRIMINAL JUSTICE RESEARCH/PLANNING/COORDINATION,30599,,SECURITY SERVICES
